project,extra,siteID,startDate,endDate,habitat,LATITUDE,LONGITUDE,monitor,mic
Initial Survey,Cheston,,2017-05-17,2017-05-19,,35.21065,-85.92947,S4Z00335,
Initial Survey,Laydown Yard,,2017-05-17,2017-05-19,,35.21357778,-85.92694444,S4Z00315,
Compartment 22,Site 1,C22_S1,2017-05-22,2017-05-26,,35.21062,-85.92947,S4Z00335,
Compartment 22,Site 3,C22_S2,2017-05-22,2017-05-26,,35.22137,-85.9377,S4Z00510,
Compartment 22,Site 2,C22_S3,2017-05-22,2017-05-26,,35.21957,-85.94466,S4Z00315,
Compartment 46 NFWF,Site 1,C46_S1,2017-05-29,2017-06-01,,35.2151,-85.97128,S4Z00510,
Compartment 46 NFWF,Site 2,,2017-05-29,2017-06-01,,35.21458,-85.97215,S4Z00335,
Compartment 46 NFWF,Site 3,,2017-05-29,2017-06-01,,35.21521,-85.97331,S4Z00315,
Compartment 22,Site 1,C22_S4,2017-06-06,2017-06-12,,35.22038,-85.94413,S4Z00335,
Compartment 22,Site 2,C22_S5,2017-06-06,2017-06-12,,35.22088,-85.94226,S4Z00510,
Compartment 22,Site 3,C22_S6,2017-06-06,2017-06-12,,35.22133,-85.93801,S4Z00315,
Compartment 46 Managed,Site 1,C46_S2,2017-06-12,2017-06-19,Managed,35.21493,-85.97521,S4Z00335,
Compartment 20 Managed,Site 2,C20_S1,2017-06-12,2017-06-19,Managed,35.22232,-85.93315,S4Z00510,
Compartment 8 Managed,Site 3,C8_S1,2017-06-13,2017-06-19,Managed,35.19486,-85.90041,S4Z00315,
Farm,Farm-1,,2017-06-16,2017-06-24,Managed,35.2118,-85.92857,Anabat-1,
Lost Cove,Lost Cove-1,,2017-06-16,2017-06-24,Cove,35.14597,-85.91405,Anabat-2,
Lake Dimmick,Lake Dimmick-1,,2017-06-18,2017-06-24,,35.18224,-85.87019,Anabat-3,
Dotson Point,Dotson Point,,2017-06-18,2017-06-24,,35.22858,-85.96578,Anabat-4,
Compartment 33,Site 2,C33_S1,2017-06-18,2017-06-24,,35.22731,-85.97025,S4Z00510,
Compartment 1-Thumping Dick Cove,Site 1,C1_S1,2017-06-20,2017-06-22,Cove,35.218,-85.95682,S4Z00335,
Farm,Farm-1,,2017-06-21,2017-06-22,,35.125122,-85.553518,Anabat-1,
Lost Cove,Lost Cove-1,,2017-06-26,2017-07-05,Cove,35.14597,-85.91405,Anabat-2,
Lake Dimmick,Lake Dimmick-1,,2017-06-26,2017-07-05,,35.18224,-85.87019,Anabat-3,
Dotson Point,Dotson Point,,2017-06-26,2017-07-05,,35.22858,-85.96578,Anabat-4,
Lost Cove-2,Lost Cove-2,C53_S1,2017-06-26,2017-07-05,Cove,35.15021,-85.91171,S4Z00315,
Lost Cove-4,Lost Cove-4,C53_S2,2017-06-26,2017-07-05,Cove,35.1664,-85.90667,S4Z00510,
Lost Cove-3,Lost Cove-3,C53_S3,2017-06-26,2017-07-05,Cove,35.1535,-85.91005,S4Z00335,
Lost Cove,Lost Cove-1 (permanent),,2017-07-05,2017-08-18,Cove,35.15374,-85.91027,Anabat-2,
Lost Cove,Lost Cove-1 (permanent),,2017-09-07,2017-12-05,Cove,35.15374,-85.91027,Anabat-2,
Managed Area 46,Site 1,C46_S3,2017-07-06,2017-07-19,Managed,35.2145,-85.96951,S4Z00335,
Managed Area 20,Site 2,C20_S2,2017-07-06,2017-07-19,Managed,35.22245,-85.93058,S4Z00315,
Managed Area 8,Site 3,C8_S1,2017-07-06,2017-07-19,Managed,35.19486,-85.90041,S4Z00510,
Farm,Farm-1,,2017-07-06,2017-07-19,,35.125122,-85.553518,Anabat-1,
Dotson Point,Dotson Point,,2017-07-06,2017-12-05,,35.22858,-85.96578,Anabat-4,
Compartment 46 NFWF,Site 1,C46_S4,2017-07-19,2017-08-03,,35.21534,-85.96981,S4Z00335,
Compartment 46 NFWF,Site 2,C46_S5,2017-07-19,2017-08-03,,35.21667,-85.97124,S4Z00510,
Compartment 46 NFWF,Site 3,C46_S6,2017-07-19,2017-08-03,,35.21643,-85.97249,S4Z00315,
Compartment 1-Thumping Dick Cove,Site 1,C1_S2,2017-08-02,2017-08-17,Cove,35.22227,-85.955,S4Z00510,
Compartment 33,Site 2,C33_B1,2017-08-02,2017-08-17,,35.22738,-85.97095,S4Z00315,
